sentenca,ambiente,bebida,comida,geral,localização,outros,preço,serviço
"pra quem quer comer uma boa costela no bafo com cerveja gelada , aqui é o lugar .",0,1,1,0,0,0,0,0
"atendimento impecável , excelent música .",1,0,0,0,0,0,0,0
"pizza do rodízio muito gostosa , com grand variação de sabor .",0,0,1,0,0,0,0,0
"maravilhoso restaurant para desfrutar com a família , ou amigo prato variado do cardápio amazonens .",0,0,1,1,0,0,0,0
"ambient confortável , prato saboroso ma eventualment o preparo pode demorar em dia de grand procura .",1,0,1,0,0,0,0,1
"e tem problema para servir pizza em rodízio quando a mesa é grand , não estão preparado para muita gent ao mesmo tempo , apesar de possuírem um salão razoavelment grand .",1,0,0,0,0,0,0,1
"atendimento excelent desd a recepção , conforto , manobrista e preço acessível ao benefício .",0,0,0,0,0,0,1,1
"bem decorada , fácil acesso , bom atendimento , oferec bastant variedad de produto .",1,0,1,0,1,0,0,1
os melhor vinho e a melhor gastronomia de manau,0,1,1,0,0,0,0,0
muito bom ambient agradável e cardápio maravilhoso ! ? ?,1,0,1,1,0,0,0,0
"o bar é uma ótima opção pra quem quer fazer o esquenta , encerrar a noit , ou mesmo passar hora na mesa .",0,1,0,0,0,0,0,0
procurar uma embalagem melhor pra manteiga de garrafa que fica com a mão pegajosa depoi que se serv !,0,0,1,0,0,0,0,0
meu esposo é deficient físico e não podemo ir ao segundo piso em razão da falta de acessibilidad .,0,0,0,1,0,0,0,0
merec a oportunidad dest excelent restaurant que com certeza elevará o seu nível tendo est profission como colaborador ! ! !,0,0,0,1,0,0,0,0
ponto negativo : muito comerci para nada .,0,0,0,1,0,0,0,0
"parabén coco bambu pelo profission exemplar , na próxima gostaríamo de ser atendido por ele novament .",0,0,0,0,0,0,0,1
"atendimento infinitament melhor do que na primeira vez , oferta de um buffet interessant ( mesmo no domingo ) e com preço justo , incluindo entrada , peix , acompanhamento e ... sobremesa .",0,0,1,0,0,0,1,1
comida muito boa,0,0,1,0,0,0,0,0
"experimentei doi prato , sendo um frango grelhado e a minha esposa pediu estrogonof de carn , ambo os doi muito mal preparado e temperado , sabor ruim e parec esquentado .",0,0,1,0,0,0,0,0
"de época , uma vez que é regado com temática sazonai com apresentaçõ musicai , aí quando você pensa que acab vem um som ao vivo com excelent repertório music .",1,0,0,0,0,0,0,0
"ambient agradável e cardápio variado , embora , tenham sempr algun iten indisponívei ?",1,0,1,0,0,0,0,0
"lugar tranquilo , climatizado , ótimo para se divertir com os amigo , além de um somzinho interativo ( karaokê ) , tem petisco delicioso , banheiro disponível , garçon elevadíssimo , e um ambient mai reservado para uma conversa com o crush .",1,0,1,1,0,0,0,1
restaurant que serv uma excelent carn de sol com acompanhamento variado e um bom preço .,0,0,1,0,0,0,1,0
"ótimo cardápio , excelent custo benefício ma com um demora fora do padrão infelizment ... lamentável .",0,0,1,0,0,0,1,1
"lugar top , agradável , as veze demora pra passar a pizza e o suco , tirando isso , recomendo",0,0,0,1,0,0,0,1
para mim é sempr uma boa opção quando quero comida japonesa .,0,0,1,0,0,0,0,0
ambient convidativo tanto para amigo e família .,1,0,0,0,0,0,0,0
"ótimo atendimento , não parava de comer.kkkk",0,0,0,0,0,0,0,1
o melhor bar a melhor feijoada o melhor café da manhã de domingo .,0,1,1,0,0,0,0,0
"local muito agradável sempr vou com minha família o atendimento ótimo todo os funcionário são bem atencioso e sempr que eu quero comer alguma coisa , e não sei ond comer vou lá porqu sempr está aberto e tem ótima opçõ de café da manhã almoço e janta lanch o que você quiser comer provavelment vai ter lá",0,0,0,1,0,0,0,1
ambient confortável com atendimento de primeira e comida excelent .,1,0,1,0,0,0,0,1
"no banzeiro encontramo excelent gastronomia brasileira e region , com prato elaborado , criativo e delicioso .",0,0,1,0,0,0,0,0
"sobr os valor é um preço justo , as poçõ são satisfatoria e vale super a pena .",0,0,1,1,0,0,1,0
"ambient muito bom , o peix é de primeira .",1,0,1,0,0,0,0,0
comida boa e preço justo,0,0,1,0,0,0,1,0
