sentenca,ambiente,bebida,comida,geral,localização,outros,preço,serviço
"atendimento é sempr maravilhoso , comida nem se fala , chopp sempr gelado e com a caneca geladerrima .",0,1,1,0,0,0,0,1
"outra coisa ótima , desd ao estacionamento um local agradável .",0,0,0,1,1,0,0,0
"muito bom o ambient , o atendimento e a comida então uma delícia .... super indico",1,0,1,0,0,0,0,1
"um ambient muito divertido e animado , ideal para trazer família e amigo",1,0,0,0,0,0,0,0
"restaurant com ótima localização , amplo estacionamento e grand variedad de carn com diverso acompanhamento , um do melhor restaurant por kilo da cidad de manau , não esquecendo de comentar o ótimo preço e o confortável ambient que o local lhe proporciona .",1,0,1,1,1,0,1,0
durant o almoço vira um estabelecimento de segunda categoria .,0,0,0,1,0,0,0,0
atendimento e alimentação excelent,0,0,1,0,0,0,0,1
comida deliciosa e atendimento maravilhoso,0,0,1,0,0,0,0,1
"ótimo lugar , ambient aconchegant , com funcionário atencioso , tempestividad do pedido , e preço justo ,",1,0,1,1,0,0,1,1
"o restaurant fica no andar superior de um prédio antigo , ma com elevador para pessoa com dificuldad de locomoção e ambient rústico ma chiqu , sanitário novo .",1,0,0,0,1,0,0,0
"meu lugarzinho do açaí , ótimo opção .",0,0,1,1,0,0,0,0
"há muita opçõ no menu dele , os mai variado tipo de carn .",0,0,1,0,0,0,0,0
lugar agradável para um bom café da manhã .,0,0,1,0,0,0,0,0
uma da cerveja mai gelada de manau,0,1,0,0,0,0,0,0
"ótimo ambient e atendimento , música ao vivo , bebida gelada e comida deliciosa .",1,1,1,0,0,0,0,1
ótimo atendimento,0,0,0,0,0,0,0,1
"excelent atendimento , muita opçõ , ótimo tempero ,",0,0,1,0,0,0,0,1
uma da melhor hamburgueria de manau .,0,0,0,1,0,0,0,0
"ambient super agradável , atendimento de primeira , comida deliciosa e preço muito justo !",1,0,1,0,0,0,1,1
"muito boa a comida e o atendimento , repertório bem tranquilo com música ambient , ricardo josé não deixou faltar nada e tudo sem demora .",1,0,1,0,0,0,0,1
"local conta com area externa ( mai com segurança , poi é todo gradeado ) e tambem area interna refrigerada , otimo atendimento e o proprio adolpho passa na mesa p saber se estamo bem servido .",1,0,0,0,0,0,0,1
"excelent lugar para reunir com amigo no final da tard , bon petisco e preço .",0,0,1,1,0,0,1,0
"tudo rápido , comida deliciosa e preço justo .",0,0,1,0,0,0,1,1
"phelip , atendimento show de bola , maravilhoso",0,0,0,0,0,0,0,1
"um lugar bem acolhedor , ambient familiar , as porçõ são generosa de excelent qualidad .... camarão delicioso bem fresquinho !",1,0,1,1,0,0,0,0
est restaurant próximo ao centro oferec uma ampla opção de cardápio para self-servic a um custo muito atrativo .,0,0,1,0,0,0,1,0
"um do melhor restaurant de manau , atendimento vip , com uma grand opção de refeição , e uma ótima carta de vinho , localizado em um bairro nobr de manau , de fácil acesso , excelent estrutura e ótimo ambient .",1,1,1,1,1,0,0,1
"local simpl , super agradável e com um atendimento excent .",0,0,0,1,0,0,0,1
porém com preço alto .,0,0,0,0,0,0,1,0
"restaurant muito bom e muito chiqu , o custo benefício é incrível .",0,0,0,1,0,0,1,0
"carn deliciosa , ambient muito bom , e tem um playground maravilhoso para as criança brincarem , acho que é o melhor de manau para família",1,0,1,1,0,0,0,0
"o bar é bom , tem como ponto fort a grand variedad de drink .",0,1,0,0,0,0,0,0
que café delicioso,0,1,0,0,0,0,0,0
ótimo lugar .,0,0,0,1,0,0,0,0
preço caro para um serviço ruim .,0,0,0,0,0,0,1,1
"estiv sozinho no barollo na noit de 14/05 para jantar e tive uma experiência muito boa , mesmo não estando acompanhado .",0,0,0,1,0,0,0,0
fui um do primeiro client do caxiri apó inauguração e indiquei para dezena de amigo .,0,0,0,1,0,0,0,0
achei o preço super acessível .,0,0,0,0,0,0,1,0
"a churrascaria búfalo conta com um ambient climatizado e sofisticado , o atendimento é muito bom , os garçon sempr educado e atencioso .",1,0,0,0,0,0,0,1
comida saborosa,0,0,1,0,0,0,0,0
"a nova loja do adrianópoli no início da rua paraíba é ótima , espaçosa e possui bom estacionamento .",1,0,0,0,1,0,0,0
excelent atendimento e comida amazônica com toqu requintado .,0,0,1,0,0,0,0,1
"comida boa , ótimo ambient , bom atendimento .só não gostei da espera por uma mesa",1,0,1,0,0,0,0,1
café region .,0,1,0,0,0,0,0,0
a casa possui boa carta de vinho .,0,1,0,0,0,0,0,0
"ambient aconchegant , ótimo atendimento , cardápio variado e excelent qualidad .",1,0,1,0,0,0,0,1
"pra quem curt vida noturna , vale a pena visitar !",0,0,0,1,0,0,0,0
"foi uma experiência maravilhosa , comida boa , atendimento rápido e preço justo .",0,0,1,1,0,0,1,1
tem um estacionamento próprio .,0,0,0,0,1,0,0,0
"o ambient é amplo , clean , boa acústica , garçon atento .",1,0,0,0,0,0,0,1
é desumano dar 5 estrela para um atendimento único e uma pessoa que vale pelo universo inteiro .,0,0,0,0,0,0,0,1
"imita grand cafeteria internacionai , porém com açaí e cupuaçu , muito saboroso , com ótimo preço e atendimento bacana , têm em shop , locai turístico , na rua , aeroporto , simplesment adoramo .",0,0,1,0,0,0,1,0
"em vez disso , irei ao hell 's kitchen para uma experiência gastronômica adequada .",0,0,1,0,0,0,0,0
comida gostosa e cerpa geladissima !,0,1,1,0,0,0,0,0
falta só ter um estacionamento maior pq a comida e boa !,0,0,1,0,1,0,0,0
em resumo uma excelent oportunidad para experimentar a culinária amazonens .,0,0,1,0,0,0,0,0
"ambient climatizado , com vaga para estacionar , ótimo atendimento , preço compatível com o produto .",1,0,0,0,1,0,1,1
"carn saborosa e suculenta , tipica da culinária gaúcha !",0,0,1,0,0,0,0,0
"excelent custo x benefício , hamburgu artesan e atendimento massa !",0,0,1,0,0,0,1,1
"gostei muito de tudo : ótimo ambient , discreto , seleto e aconchegant , ótima localização , prefeito para quem foge de muvuca e gent mal educada .",1,0,0,0,1,0,0,0
"ambient acolhedor , comida region manauara com toqu de chef .",1,0,1,0,0,0,0,0
o restaurant fica no andar de cima de uma casa antiga com vista para o teatro .,0,0,0,0,1,0,0,0
"localizado em um centro gastronômico , com estacionamento comum privativo gratuito , ess local oferec chopp e petisco a bon preço e ótima qualidad , servido por meio de um bom atendimento , em um ambient bem arejado , área comum , rústico e coberto .",1,1,1,0,1,0,1,1
excelent restaurant para saborear as riqueza da água da amazônia .,0,0,1,1,0,0,0,0
"comida sempr muito gostosa , ambient agradável , recomendo 100 % .",1,0,1,1,0,0,0,0
"atendimento bom , custo beneficio entr local e os preço e excelent tendo em vista que o bar é muito top ...",1,0,0,0,0,0,1,1
grand variedad de peix locai com sabor inigualável .. atendimento ímpar .,0,0,1,0,0,0,0,1
restaurant de primeira com carn exótica ma muito deliciosa .,0,0,1,0,0,0,0,0
"ótimo lugar , bom atendimento , preço super bom ! ! !",0,0,0,1,0,0,1,1
