sentenca,ambiente,bebida,comida,geral,localização,outros,preço,serviço
agora com nova opção no cardápio : pizza .,0,0,0,0,0,1,0,0
vale a pena apesar do preço ser um pouco salgado .,0,0,0,0,0,0,1,0
"ótimo atendimento , ma a qualidad da pizza no rodízio e da batata frita passam long .",0,0,1,0,0,0,0,1
atendimento impecável como sempr !,0,0,0,0,0,0,0,1
"bem organizado , atendimento muito bom e estacionamento pra pessoa com necessidad especiai .",1,0,0,0,1,0,0,1
com certeza a melhor opção gastronômica de manau .,0,0,1,0,0,0,0,0
"fomo almoçar no coco bambú e pedimo camarão a boa viagem , constant no prato executivo , quantidad boa , perfeito para dia pessoa , preço muito bom , para quem é admirador de camarão .",0,0,1,0,0,0,1,0
"excelent comida , atendimento da ketherin muito bom , educada e prestativa .",0,0,1,0,0,0,0,1
"restaurant top , estacionamento grand , o ambient é climatizado , o atendimento é excelent , recomendo caldeirada de tambaqui é muito gostoso e bem servido .",1,0,1,1,1,0,0,1
"é também um ambient acolhedor , com excelent atenção à mesa .",1,0,0,0,0,0,0,1
"gent bonita , cerveja gelada , a melhor cena music de manau em um do bare mai tradicionai da cidad .",1,1,0,1,0,0,0,0
só falta uma brinquedoteca para atend melhor família com criança .,1,0,0,0,0,0,0,0
"carn de sol deliciosa , bom atendimento , ótimo preço e bem localizado .",0,0,1,0,1,0,1,1
"fiquei muito impressionada com o atendimento , comida excelent e ambient agradável .",1,0,1,0,0,0,0,1
"o meu preferido é o bowl tirashi salmão , muito bem servido e é uma delícia .",0,0,1,0,0,0,0,0
"boa comida , bom preço .",0,0,1,0,0,0,1,0
"ótimo restaurant , tranquilo confortável e atendimento e a comida é de excelência ...",1,0,1,1,0,0,0,1
viva a comida mexicana,0,0,1,0,0,0,0,0
"ótima opção para um descanso no fim de semana , possui um delicioso restaurant flutuant com locação de prancha para praticar sup .",1,0,0,1,0,0,0,0
"preço justo pelo que se propõ , poi o prato ficou na faixa de 130.00 reai , incluindo 10 % mai água .",0,0,0,0,0,0,1,0
