sentenca,ambiente,bebida,comida,geral,localização,outros,preço,serviço
"o restaurant coqueiro verd é uma referencia no que diz respeito a cultura gastronomica nordestina , o ponto fraco é a demora para servir !",0,0,1,0,0,0,0,1
"ambient agradável , sem contar que o atendimento foi perfeito feito pela srta .",1,0,0,0,0,0,0,1
"horrível não volto ma lá não conhecia um amigo me convid , e foi a primeira vez , garçom diss grosseirament que eu iria só consumir se eu pagass o cover , ma a forma que ele falou foi tão desnecessário , que eu que trabalho com o público a muito tempo trataria alguém assim , então me retirei e fui embora eu poderia ter uma crítica melhor pra fazer ma vc ser tratado igual um cachorro não indico a ninguém e nunca ma piso lá .",0,0,0,0,0,0,0,1
"ótimo atendimento , coisa deliciosa .",0,0,1,0,0,0,0,1
"porém , se isso não lhe for incômodo e a part da comida que convém , pode ir que é uma boa opção .",0,0,1,1,0,0,0,0
"para os apreciador de um bom churrasco , esta é uma excelent opção .",0,0,1,1,0,0,0,0
a variedad de refeiçõ é outro diferenci e o preço justo torná o ambient perfeito para reunir-s com os amigo .,1,0,1,0,0,0,1,0
ótimo restaurant,0,0,0,1,0,0,0,0
excelent atendimento ... parabén coco bambu,0,0,0,1,0,0,0,1
"bom o ambient , .. mai as coisa cara",1,0,0,0,0,0,1,0
"lugar acolhedor com estacionamento , atendimento excelent e comida muito boa !",0,0,1,0,1,0,0,1
tem grand variedad ma às veze ( nem sempr ) serv alimento frio e isso é uma grand frustração,0,0,1,0,0,0,0,0
"ótimo lugar , atendimento ótimo e a comida nem se fala",0,0,1,1,0,0,0,1
"o happi hour é uma ótima pedida , com excelent drink .",0,1,0,1,0,0,0,0
restaurant region de manau .,0,0,0,1,0,0,0,0
restaurant de comida típica maravilhosa .,0,0,1,0,0,0,0,0
"lugar para toda as situaçõ : ir namorar e ouvir boa música a doi , ou para levar as criança para se divertir com segurança e comodidad ou para encontrar os amigo e ter um papo agradável para comer e beber bem !",0,0,0,1,0,0,0,0
melhor carn de sol de manau ?,0,0,1,0,0,0,0,0
"as pizza do rodízio tem sabor sensacionai ma as fatia deixam a desejar poi em relação a outra pizzaria , as fatia da pizza são minúscula apesar do preço ser bem mai caro .",0,0,1,0,0,0,1,0
é sempr uma experiência incrível !,0,0,0,1,0,0,0,0
tem estacionamento próprio .,0,0,0,0,1,0,0,0
"valor muito honesto , ótimo custo benefício .",0,0,0,0,0,0,1,0
"cafeteria que serv excelent café especiai de sul de mina , cardápio bom e variado com farta opçõ de bebida clássica de cafeteria .",0,1,1,0,0,0,0,0
tem um chopp de vinho delicioso .,0,1,0,0,0,0,0,0
preço compatível com o que é oferecido .,0,0,0,0,0,0,1,0
"refeição excelent e saborosa , cardápio variado , atendimento impecável , estacionamento amplo .",0,0,1,0,1,0,0,1
"thank u franco ’ s , for give me thi one singular joy in life .",0,0,0,0,0,1,0,0
"ótimo restaurant , lugar agradável para almoço em família , essa atendimento , ótima comida ma o estacionamento precisa melhorar .",0,0,1,1,1,0,0,0
"local muito agradável , com excelent refeição a preço justo .",0,0,1,1,0,0,1,0
"boa música , cerveja gelada , petisco delicioso",1,1,1,0,0,0,0,0
lugar agradável .,0,0,0,1,0,0,0,0
"ambient agradável , comida deliciosa e bom atendimento .",1,0,1,0,0,0,0,1
melhor restaurant de manau,0,0,0,1,0,0,0,0
"banda de tambaqui com farofa de banana , excelent .",0,0,1,0,0,0,0,0
"excelent , atendimento impecável , ambient bonito , banheiro limpíssimo , ótima música , carta de vinho extensa , e os prato então , do deus .",1,1,1,1,0,0,0,1
o único problema e o estacionamento .,0,0,0,0,1,0,0,0
"comida saborosa , bom atendimento e bom custo/benefício .",0,0,1,0,0,0,1,1
preço acessível ao que trabalham no polo industri .,0,0,0,0,0,0,1,0
super indico para pessoa que estão vindo a manau pela primeira vez .,0,0,0,1,0,0,0,0
